post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:sport,attribute:Packages,attribute_data:Packages,attribute:pa_certification,attribute_data:pa_certification,attribute:pa_package,attribute_data:pa_package
"Tailored diet plan",tailored-diet-plan,,2884,"A tailored dietitian plan for kids is a specialized and individualized approach to children's nutrition and dietary management, aimed at promoting their optimal growth, development, and overall health. A crucial aspect of adult nutrition, moderation, and portion control are emphasized to help individuals maintain a healthy weight and prevent chronic diseases by taking an diet from our dietitian as well as nutritionist.","A tailored dietitian plan for kids is a specialized and individualized approach to children's nutrition and dietary management, aimed at promoting their optimal growth, development, and overall health. A crucial aspect of adult nutrition, moderation, and portion control are emphasized to help individuals maintain a healthy weight and prevent chronic diseases by taking an diet from our dietitian as well as nutritionist.",publish,,0,"2024-03-18 12:37:10",1,open,,,,no,yes,,399,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/experience-image-2.jpg ! alt :  ! title : experience-image-2 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/tailored-diet-plan/,0,simple,,"Punjab > Kharar",Experience,,,,,,,,
"Sector 69, Mohali",sector-69-mohali,,2892,"Sector 69, Mohali","Sector 69, Mohali",publish,,0,"2024-03-18 14:59:09",1,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230615124416-2023-06-15tbl_venue124405.jpg ! alt :  ! title : 20230615124416-2023-06-15tbl_venue124405 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/sector-69-mohali/,0,simple,,Punjab,,,"Lawn Tennis",,,,,,
"Rahul Speed Skating Academy (RSSA)",rahul-speed-skating-academy-rssa,,3073,Skating,Skating,publish,,0,"2024-03-18 17:47:36",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0349image_cropper_1687519961779.jpg ! alt :  ! title : 0349image_cropper_1687519961779 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rahul-speed-skating-academy-rssa/,0,simple,,Chandigarh,,,Skating,,,,,,
"Modern Tennis Academy",modern-tennis-academy,,3074,"lawn tennis","lawn tennis",publish,,0,"2024-03-18 17:47:39",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1602image_cropper_1692882566318.jpg ! alt :  ! title : 1602image_cropper_1692882566318 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/modern-tennis-academy/,0,simple,,Chandigarh,,,"Lawn Tennis",,,,,,
"Playball Tennis Academy",playball-tennis-academy,,3075,"Elevate your game with our state-of-the-art tennis courts and convenient online slot booking system. Book your court today and experience the thrill of the game!","Elevate your game with our state-of-the-art tennis courts and convenient online slot booking system. Book your court today and experience the thrill of the game!",publish,,0,"2024-03-18 17:47:42",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230630123131-2023-06-30tbl_venue123100.jpg ! alt :  ! title : 20230630123131-2023-06-30tbl_venue123100 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/playball-tennis-academy/,0,simple,,"Haryana > Panchkula",,,"Lawn Tennis",,,,,,
"RV Tennis Academy",rv-tennis-academy,,3076,"Ready to take your tennis game to the next level? Join us today for your pathway to tennis excellence. Our expert coaches, state-of-the-art facilities, and vibrant tennis community are all waiting for you. Serve, swing, and succeed with us. Enroll today and let's face it together","Ready to take your tennis game to the next level? Join us today for your pathway to tennis excellence. Our expert coaches, state-of-the-art facilities, and vibrant tennis community are all waiting for you. Serve, swing, and succeed with us. Enroll today and let's face it together",publish,,0,"2024-03-18 17:47:45",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816183120-2023-08-16tbl_venue183118.jpg ! alt :  ! title : 20230816183120-2023-08-16tbl_venue183118 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/rv-tennis-academy/,0,simple,,"Punjab > Kharar|Punjab",,,"Lawn Tennis",,,,,,
"The Elite Boxing",the-elite-boxing,,3077,Boxing,Boxing,publish,,0,"2024-03-18 17:47:48",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230630132334-2023-06-30tbl_venue132331.jpeg ! alt :  ! title : 20230630132334-2023-06-30tbl_venue132331 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/the-elite-boxing/,0,simple,,Chandigarh,,,Boxing,,,,,,
"GKM Archery Academy",gkm-archery-academy,,3078,"Discover the ancient art of archery at our premier academy, where precision and focus come together in perfect harmony. Whether you a;re a beginner or an experienced archer, our expert coach will guide you to develop your skills, enhance your technique, and hit the bullseye with confidence.","Discover the ancient art of archery at our premier academy, where precision and focus come together in perfect harmony. Whether you a;re a beginner or an experienced archer, our expert coach will guide you to develop your skills, enhance your technique, and hit the bullseye with confidence.",publish,,0,"2024-03-18 17:47:51",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816184440-2023-08-16tbl_venue184435.jpg ! alt :  ! title : 20230816184440-2023-08-16tbl_venue184435 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/gkm-archery-academy/,0,simple,,"Punjab > Kharar",,,Boxing,,,,,,
"FITNESS RAAGA",fitness-raaga,,3079,"Experience the enchanting world of dance as graceful movements and expressive artistry come alive on the stage. From classical elegance to contemporary creativity, immerse yourself in the joy of dance and let your spirit soar through rhythmic beauty and captivating performances.","Experience the enchanting world of dance as graceful movements and expressive artistry come alive on the stage. From classical elegance to contemporary creativity, immerse yourself in the joy of dance and let your spirit soar through rhythmic beauty and captivating performances.",publish,,0,"2024-03-18 17:47:54",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230707200021-2023-07-07tbl_venue200015.png ! alt :  ! title : 20230707200021-2023-07-07tbl_venue200015 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/fitness-raaga/,0,simple,,Chandigarh,,,Dance,,,,,,
"SPIDER COMBAT SPORTS ACADEMY",spider-combat-sports-academy,,3080,"Martial arts encompass various combat disciplines that focus on physical techniques, mental discipline, and self-defense skills, emphasizing techniques such as striking, grappling, and weapon usage to neutralize opponents.","Martial arts encompass various combat disciplines that focus on physical techniques, mental discipline, and self-defense skills, emphasizing techniques such as striking, grappling, and weapon usage to neutralize opponents.",publish,,0,"2024-03-18 17:47:57",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/2552image_cropper_1692883202799.jpg ! alt :  ! title : 2552image_cropper_1692883202799 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/spider-combat-sports-academy/,0,simple,,Chandigarh,,,"Martial Arts",,,,,,
"sports complex 42 chd",sports-complex-42-chd,,3081,"Boxing is a combat sport that involves two participants, typically wearing protective gloves, who throw punches at each other within a designated ring.","Boxing is a combat sport that involves two participants, typically wearing protective gloves, who throw punches at each other within a designated ring.",publish,,0,"2024-03-18 17:48:00",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4324image_cropper_1688371835035.jpg ! alt :  ! title : 4324image_cropper_1688371835035 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/sports-complex-42-chd/,0,simple,,Chandigarh,,,Boxing,,,,,,
"T-VELOCITY FOOTBALL ACADEMY",t-velocity-football-academy,,3082,"Elevate your football game to the next level with our premium turf. Book your slot now and unleash your skills on our expertly maintained pitch. Our convenient booking system ensures a smooth and enjoyable experience for all players.","Elevate your football game to the next level with our premium turf. Book your slot now and unleash your skills on our expertly maintained pitch. Our convenient booking system ensures a smooth and enjoyable experience for all players.",publish,,0,"2024-03-18 17:48:03",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0739image_cropper_1692878363041.jpg ! alt :  ! title : 0739image_cropper_1692878363041 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/t-velocity-football-academy/,0,simple,,Chandigarh,,,Football,,,,,,
"Royal Mixed Martial Arts Academy- KHARAR",royal-mixed-martial-arts-academy-kharar,,3083,"martial arts","martial arts",publish,,0,"2024-03-18 17:48:06",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816192412-2023-08-16tbl_venue192328.jpg ! alt :  ! title : 20230816192412-2023-08-16tbl_venue192328 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/royal-mixed-martial-arts-academy-kharar/,0,simple,,"Punjab > Kharar|Punjab",,,"Martial Arts",,,,,,
"FIRST STEP DANCE ACADEMY",first-step-dance-academy,,3084,"Dance academy: Institution that offers professional dance training and education. Provides instruction in various dance styles, fosters technique development, artistic expression, and prepares students for performances and potential careers in dance.","Dance academy: Institution that offers professional dance training and education. Provides instruction in various dance styles, fosters technique development, artistic expression, and prepares students for performances and potential careers in dance.",publish,,0,"2024-03-18 17:48:09",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816181319-2023-08-16tbl_venue181315.jpg ! alt :  ! title : 20230816181319-2023-08-16tbl_venue181315 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/first-step-dance-academy/,0,simple,,"Punjab > Mohali",,,Dance,,,,,,
"Ashok Dance Studio",ashok-dance-studio,,3085,"Professional training institution for diverse dance styles, cultivating technique, artistry, and performance skills to empower aspiring dancers.","Professional training institution for diverse dance styles, cultivating technique, artistry, and performance skills to empower aspiring dancers.",publish,,0,"2024-03-18 17:48:13",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816180519-2023-08-16tbl_venue180516.jpg ! alt :  ! title : 20230816180519-2023-08-16tbl_venue180516 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/ashok-dance-studio/,0,simple,,"Punjab > Kharar|Punjab",,,Dance,,,,,,
"Government Model Sr. Sec. School Sec-10A CHD",government-model-sr-sec-school-sec-10a-chd,,3086,"Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.","Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.",publish,,0,"2024-03-18 17:48:16",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1012image_cropper_1692878711328.jpg ! alt :  ! title : 1012image_cropper_1692878711328 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/government-model-sr-sec-school-sec-10a-chd/,0,simple,,Chandigarh,,,Football,,,,,,
"Saraswati Vihar School Zirakpur",saraswati-vihar-school-zirakpur,,3087,"Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.","Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.",publish,,0,"2024-03-18 17:48:19",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1051image_cropper_1692878731459.jpg ! alt :  ! title : 1051image_cropper_1692878731459 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/saraswati-vihar-school-zirakpur/,0,simple,,"Punjab > Zirakpur",,,Football,,,,,,
"Community Center Sector-9 Panchkula.",community-center-sector-9-panchkula,,3088,"Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.","Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponent's net, showcasing skill, teamwork, and passion.",publish,,0,"2024-03-18 17:48:23",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/1201image_cropper_1692878780418.jpg ! alt :  ! title : 1201image_cropper_1692878780418 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/community-center-sector-9-panchkula/,0,simple,,"Punjab > Kharar",,,Football,,,,,,
"GOVERNMENT MODEL SENIOR SECONDARY SCHOOL-SECTOR-28",government-model-senior-secondary-school-sector-28,,3089,"Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponet's net, showcasing skill, teamwork, and passion.","Popular team sport played on a rectangular field. Players aim to score goals by kicking the ball into the opponet's net, showcasing skill, teamwork, and passion.",publish,,0,"2024-03-18 17:48:26",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20231117224226-2023-11-17tbl_venue224217.jpg ! alt :  ! title : 20231117224226-2023-11-17tbl_venue224217 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/government-model-senior-secondary-school-sector-28/,0,simple,,Chandigarh,,,Football,,,,,,
"Government Model Senior Secondary School Sector-46",government-model-senior-secondary-school-sector-46,,3090,"Global team sport with a ball, aiming to score in the opponent's net. Requires skill, strategy, and teamwork. Universally popular and passionately followed.","Global team sport with a ball, aiming to score in the opponent's net. Requires skill, strategy, and teamwork. Universally popular and passionately followed.",publish,,0,"2024-03-18 17:48:31",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20231117223742-2023-11-17tbl_venue223726.jpg ! alt :  ! title : 20231117223742-2023-11-17tbl_venue223726 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/government-model-senior-secondary-school-sector-46/,0,simple,,Chandigarh,,,Football,,,,,,
"Water Wonders",water-wonders-2,,3091,"Effortlessly glide through water with rhythmic strokes and breath control, enjoying the ultimate aquatic experience.","Effortlessly glide through water with rhythmic strokes and breath control, enjoying the ultimate aquatic experience.",publish,,0,"2024-03-18 17:48:34",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/4113image_cropper_1690193399493.jpg ! alt :  ! title : 4113image_cropper_1690193399493 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/water-wonders-2/,0,simple,,"Punjab > Kharar|Punjab",,,Swimming,,,,,,
"Ignition football Academy - 69",ignition-football-academy-69,,3092,"A premier football academy offering top-notch training, expert coaching, and state-of-the-art facilities to aspiring young athletes, equipping them with the skills and opportunities to excel in the sport.","A premier football academy offering top-notch training, expert coaching, and state-of-the-art facilities to aspiring young athletes, equipping them with the skills and opportunities to excel in the sport.",publish,,0,"2024-03-18 17:48:37",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/20230816185753-2023-08-16tbl_venue185750.jpg ! alt :  ! title : 20230816185753-2023-08-16tbl_venue185750 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/ignition-football-academy-69/,0,simple,,Punjab,,,Football,,,,,,
"Prakash Padukone Badminton Academy",prakash-padukone-badminton-academy,,3093,"Prakash Padukone Badminton Academy","Prakash Padukone Badminton Academy",publish,,0,"2024-03-18 17:48:40",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0327image_cropper_1690367601526.jpg ! alt :  ! title : 0327image_cropper_1690367601526 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/prakash-padukone-badminton-academy/,0,simple,,"Punjab > Kharar",,,Badminton,,,,,,
"Skate Prodigy Academy",skate-prodigy-academy,,3094,"Skate Prodigy Academy","Skate Prodigy Academy",publish,,0,"2024-03-18 17:48:43",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0711image_cropper_1690367825909.jpg ! alt :  ! title : 0711image_cropper_1690367825909 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/skate-prodigy-academy/,0,simple,,"Punjab > Kharar",,,Skating,,,,,,
"Basketball academy",basketball-academy,,3095,"Basketball Academy","Basketball Academy",publish,,0,"2024-03-18 17:48:46",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0345image_cropper_1690367618636.jpg ! alt :  ! title : 0345image_cropper_1690367618636 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/basketball-academy/,0,simple,,"Punjab > Kharar",,,Basketball,,,,,,
"Victory Martial Arts Academy",victory-martial-arts-academy,,3096,"Victory Martial Arts Academy","Victory Martial Arts Academy",publish,,0,"2024-03-18 17:48:49",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0419image_cropper_1690367653450.jpg ! alt :  ! title : 0419image_cropper_1690367653450 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/victory-martial-arts-academy/,0,simple,,"Punjab > Kharar",,,"Martial Arts",,,,,,
"Ignition Football Academy",ignition-football-academy,,3097,"Ignition Football Academy","Ignition Football Academy",publish,,0,"2024-03-18 17:48:52",1,open,,,,no,yes,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tidasports.com/wp-content/uploads/2024/03/0314image_cropper_1690367587525.jpg ! alt :  ! title : 0314image_cropper_1690367587525 ! desc :  ! caption : ",,https://tidasports.com/index.php/product/ignition-football-academy/,0,simple,,"Punjab > Kharar",,,Football,,,,,,
